filepath,emotion
processed_clips\1_clip_0.npz,Surprise
processed_clips\1_clip_1.npz,Surprise
processed_clips\1_clip_2.npz,Surprise
processed_clips\1_clip_3.npz,Surprise
processed_clips\1_clip_4.npz,Surprise
processed_clips\1_clip_5.npz,Surprise
processed_clips\1_clip_6.npz,Surprise
processed_clips\1_clip_7.npz,Surprise
processed_clips\1_clip_8.npz,Surprise
processed_clips\1_clip_9.npz,Surprise
processed_clips\1_clip_10.npz,Surprise
processed_clips\1_clip_11.npz,Surprise
processed_clips\1_clip_12.npz,Surprise
processed_clips\1_clip_13.npz,Surprise
processed_clips\1_clip_14.npz,Surprise
processed_clips\1_clip_15.npz,Surprise
processed_clips\1_clip_16.npz,Surprise
processed_clips\1_clip_17.npz,Surprise
processed_clips\1_clip_18.npz,Surprise
processed_clips\1_clip_19.npz,Surprise
processed_clips\1_clip_20.npz,Surprise
processed_clips\1_clip_21.npz,Surprise
processed_clips\1_clip_22.npz,Surprise
processed_clips\1_clip_23.npz,Surprise
processed_clips\1_clip_24.npz,Surprise
processed_clips\1_clip_25.npz,Surprise
processed_clips\1_clip_26.npz,Surprise
processed_clips\1_clip_27.npz,Surprise
processed_clips\1_clip_28.npz,Surprise
processed_clips\2_clip_0.npz,Surprise
processed_clips\2_clip_1.npz,Surprise
processed_clips\2_clip_2.npz,Surprise
processed_clips\2_clip_3.npz,Surprise
processed_clips\2_clip_4.npz,Surprise
processed_clips\2_clip_5.npz,Surprise
processed_clips\2_clip_6.npz,Surprise
processed_clips\2_clip_7.npz,Surprise
processed_clips\2_clip_8.npz,Surprise
processed_clips\2_clip_9.npz,Surprise
processed_clips\2_clip_10.npz,Surprise
processed_clips\2_clip_11.npz,Surprise
processed_clips\2_clip_12.npz,Surprise
processed_clips\2_clip_13.npz,Surprise
processed_clips\2_clip_14.npz,Surprise
processed_clips\2_clip_15.npz,Surprise
processed_clips\2_clip_16.npz,Surprise
processed_clips\2_clip_17.npz,Surprise
processed_clips\2_clip_18.npz,Surprise
processed_clips\2_clip_19.npz,Surprise
processed_clips\2_clip_20.npz,Surprise
processed_clips\2_clip_21.npz,Surprise
processed_clips\2_clip_22.npz,Surprise
processed_clips\2_clip_23.npz,Surprise
processed_clips\2_clip_24.npz,Surprise
processed_clips\2_clip_25.npz,Surprise
processed_clips\2_clip_26.npz,Surprise
processed_clips\2_clip_27.npz,Surprise
processed_clips\2_clip_28.npz,Surprise
processed_clips\2_clip_29.npz,Surprise
processed_clips\2_clip_30.npz,Surprise
processed_clips\3_clip_0.npz,Surprise
processed_clips\3_clip_1.npz,Surprise
processed_clips\3_clip_2.npz,Surprise
processed_clips\3_clip_3.npz,Surprise
processed_clips\3_clip_4.npz,Surprise
processed_clips\3_clip_5.npz,Surprise
processed_clips\3_clip_6.npz,Surprise
processed_clips\3_clip_7.npz,Surprise
processed_clips\3_clip_8.npz,Surprise
processed_clips\3_clip_9.npz,Surprise
processed_clips\3_clip_10.npz,Surprise
processed_clips\4_clip_0.npz,Surprise
processed_clips\4_clip_1.npz,Surprise
processed_clips\4_clip_2.npz,Surprise
processed_clips\4_clip_3.npz,Surprise
processed_clips\4_clip_4.npz,Surprise
processed_clips\4_clip_5.npz,Surprise
processed_clips\4_clip_6.npz,Surprise
processed_clips\4_clip_7.npz,Surprise
processed_clips\4_clip_8.npz,Surprise
processed_clips\4_clip_9.npz,Surprise
processed_clips\4_clip_10.npz,Surprise
processed_clips\4_clip_11.npz,Surprise
processed_clips\4_clip_12.npz,Surprise
processed_clips\4_clip_13.npz,Surprise
processed_clips\4_clip_14.npz,Surprise
processed_clips\4_clip_15.npz,Surprise
processed_clips\4_clip_16.npz,Surprise
processed_clips\4_clip_17.npz,Surprise
processed_clips\4_clip_18.npz,Surprise
processed_clips\4_clip_19.npz,Surprise
processed_clips\4_clip_20.npz,Surprise
processed_clips\4_clip_21.npz,Surprise
processed_clips\4_clip_22.npz,Surprise
processed_clips\4_clip_23.npz,Surprise
processed_clips\4_clip_24.npz,Surprise
processed_clips\4_clip_25.npz,Surprise
processed_clips\4_clip_26.npz,Surprise
processed_clips\4_clip_27.npz,Surprise
processed_clips\4_clip_28.npz,Surprise
processed_clips\4_clip_29.npz,Surprise
processed_clips\4_clip_30.npz,Surprise
processed_clips\5_clip_0.npz,Proud
processed_clips\5_clip_1.npz,Proud
processed_clips\5_clip_2.npz,Proud
processed_clips\5_clip_3.npz,Proud
processed_clips\5_clip_4.npz,Proud
processed_clips\5_clip_5.npz,Proud
processed_clips\5_clip_6.npz,Proud
processed_clips\5_clip_7.npz,Proud
processed_clips\5_clip_8.npz,Proud
processed_clips\5_clip_9.npz,Proud
processed_clips\5_clip_10.npz,Proud
processed_clips\5_clip_11.npz,Proud
processed_clips\5_clip_12.npz,Proud
processed_clips\5_clip_13.npz,Proud
processed_clips\5_clip_14.npz,Proud
processed_clips\5_clip_15.npz,Proud
processed_clips\6_clip_0.npz,Surprise
processed_clips\6_clip_1.npz,Surprise
processed_clips\6_clip_2.npz,Surprise
processed_clips\6_clip_3.npz,Surprise
processed_clips\6_clip_4.npz,Surprise
processed_clips\6_clip_5.npz,Surprise
processed_clips\6_clip_6.npz,Surprise
processed_clips\6_clip_7.npz,Surprise
processed_clips\6_clip_8.npz,Surprise
processed_clips\6_clip_9.npz,Surprise
processed_clips\6_clip_10.npz,Surprise
processed_clips\6_clip_11.npz,Surprise
processed_clips\6_clip_12.npz,Surprise
processed_clips\6_clip_13.npz,Surprise
processed_clips\6_clip_14.npz,Surprise
processed_clips\6_clip_15.npz,Surprise
processed_clips\6_clip_16.npz,Surprise
processed_clips\6_clip_17.npz,Surprise
processed_clips\6_clip_18.npz,Surprise
processed_clips\6_clip_19.npz,Surprise
processed_clips\6_clip_20.npz,Surprise
processed_clips\6_clip_21.npz,Surprise
processed_clips\7_clip_0.npz,Proud
processed_clips\7_clip_1.npz,Proud
processed_clips\7_clip_2.npz,Proud
processed_clips\7_clip_3.npz,Proud
processed_clips\7_clip_4.npz,Proud
processed_clips\7_clip_5.npz,Proud
processed_clips\7_clip_6.npz,Proud
processed_clips\7_clip_7.npz,Proud
processed_clips\7_clip_8.npz,Proud
processed_clips\7_clip_9.npz,Proud
processed_clips\7_clip_10.npz,Proud
processed_clips\7_clip_11.npz,Proud
processed_clips\7_clip_12.npz,Proud
processed_clips\7_clip_13.npz,Proud
processed_clips\7_clip_14.npz,Proud
processed_clips\7_clip_15.npz,Proud
processed_clips\7_clip_16.npz,Proud
processed_clips\7_clip_17.npz,Proud
processed_clips\7_clip_18.npz,Proud
processed_clips\7_clip_19.npz,Proud
processed_clips\7_clip_20.npz,Proud
processed_clips\8_clip_0.npz,Proud
processed_clips\8_clip_1.npz,Proud
processed_clips\8_clip_2.npz,Proud
processed_clips\8_clip_3.npz,Proud
processed_clips\8_clip_4.npz,Proud
processed_clips\8_clip_5.npz,Proud
processed_clips\8_clip_6.npz,Proud
processed_clips\8_clip_7.npz,Proud
processed_clips\8_clip_8.npz,Proud
processed_clips\8_clip_9.npz,Proud
processed_clips\8_clip_10.npz,Proud
processed_clips\8_clip_11.npz,Proud
processed_clips\8_clip_12.npz,Proud
processed_clips\8_clip_13.npz,Proud
processed_clips\8_clip_14.npz,Proud
processed_clips\8_clip_15.npz,Proud
processed_clips\8_clip_16.npz,Proud
processed_clips\8_clip_17.npz,Proud
processed_clips\8_clip_18.npz,Proud
processed_clips\9_clip_0.npz,Trust
processed_clips\9_clip_1.npz,Trust
processed_clips\9_clip_2.npz,Trust
processed_clips\9_clip_3.npz,Trust
processed_clips\9_clip_4.npz,Trust
processed_clips\9_clip_5.npz,Trust
processed_clips\9_clip_6.npz,Trust
processed_clips\9_clip_7.npz,Trust
processed_clips\9_clip_8.npz,Trust
processed_clips\9_clip_9.npz,Trust
processed_clips\9_clip_10.npz,Trust
processed_clips\9_clip_11.npz,Trust
processed_clips\9_clip_12.npz,Trust
processed_clips\9_clip_13.npz,Trust
processed_clips\9_clip_14.npz,Trust
processed_clips\9_clip_15.npz,Trust
processed_clips\9_clip_16.npz,Trust
processed_clips\9_clip_17.npz,Trust
processed_clips\9_clip_18.npz,Trust
processed_clips\9_clip_19.npz,Trust
processed_clips\9_clip_20.npz,Trust
processed_clips\10_clip_0.npz,Surprise
processed_clips\10_clip_1.npz,Surprise
processed_clips\10_clip_2.npz,Surprise
processed_clips\10_clip_3.npz,Surprise
processed_clips\10_clip_4.npz,Surprise
processed_clips\10_clip_5.npz,Surprise
processed_clips\10_clip_6.npz,Surprise
processed_clips\10_clip_7.npz,Surprise
processed_clips\10_clip_8.npz,Surprise
processed_clips\10_clip_9.npz,Surprise
processed_clips\10_clip_10.npz,Surprise
processed_clips\10_clip_11.npz,Surprise
processed_clips\10_clip_12.npz,Surprise
processed_clips\10_clip_13.npz,Surprise
processed_clips\10_clip_14.npz,Surprise
processed_clips\10_clip_15.npz,Surprise
processed_clips\10_clip_16.npz,Surprise
processed_clips\10_clip_17.npz,Surprise
processed_clips\10_clip_18.npz,Surprise
processed_clips\10_clip_19.npz,Surprise
processed_clips\10_clip_20.npz,Surprise
processed_clips\10_clip_21.npz,Surprise
processed_clips\10_clip_22.npz,Surprise
processed_clips\10_clip_23.npz,Surprise
processed_clips\10_clip_24.npz,Surprise
processed_clips\10_clip_25.npz,Surprise
processed_clips\10_clip_26.npz,Surprise
processed_clips\10_clip_27.npz,Surprise
processed_clips\10_clip_28.npz,Surprise
processed_clips\10_clip_29.npz,Surprise
processed_clips\10_clip_30.npz,Surprise
processed_clips\10_clip_31.npz,Surprise
processed_clips\10_clip_32.npz,Surprise
